"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","EPS Growth This Year","EPS Growth Next Year","EPS Growth Past 5 Years","EPS Growth Next 5 Years","Sales Growth Past 5 Years","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Average Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Relative Volume","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Dividend Yield","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date"
"1","A","Agilent Technologies Inc","Healthcare","Diagnostics & Research","USA","35584.05","27.53","125.81","0.74%","1527868","19.24","2.10","5.12","5.28","19.89","30.89","6.16%","10.21%","14.68%","9.16%","5.41%","283.05","281.90","0.33%","-2.20%","92.15%","0.84%","1.52%","2.07","2073.17","-2.91%","-13.78%","-16.97%","5.84%","-7.54%","-7.80%","-18.62%","-1.70%","247.35%","2.94%","2.73%","0.74","1.31","3.74","-5.31%","-9.11%","-2.50%","-21.50%","30.47%","31.91","0.17%","0.58%","0.82%","10.55%","20.62%","13.11%","1.96","1.52","0.47","0.53","52.50%","22.60%","18.75%","2/25/2026 4:30:00 PM"
"2","AA","Alcoa Corp","Basic Materials","Aluminum","USA","15524.89","13.39","59.95","-0.93%","8968754","10.93","0.66","1.23","2.45","9.57","27.38","29.27%","12.52%","","16.60%","6.48%","258.96","257.80","0.45%","0.00%","80.99%","1.39%","2.13%","0.76","7211.40","1.34%","-7.16%","49.76%","91.35%","12.82%","64.79%","25.03%","176.78%","","6.27%","5.56%","1.24","1.85","3.38","-0.75%","6.70%","57.52%","-10.46%","178.45%","51.40","1.92%","-2.79%","0.67%","7.73%","20.73%","13.65%","1.45","0.87","0.40","0.40","12.46%","9.90%","9.31%","1/22/2026 4:30:00 PM"
"3","AAL","American Airlines Group Inc","Industrials","Airlines","USA","9162.00","83.36","13.88","-1.21%","41482198","5.11","0.05","0.17","","1.39","","481.54%","29.73%","","108.80%","25.80%","660.30","650.00","1.53%","-0.86%","68.81%","3.32%","6.37%","0.76","54549.48","-8.92%","-8.32%","3.12%","8.27%","-9.46%","-11.82%","-15.93%","-19.63%","-63.30%","4.49%","4.08%","0.76","1.21","0.63","-3.37%","-7.44%","8.20%","-15.88%","63.29%","42.72","-1.49%","0.28%","","0.18%","","0.40%","0.50","0.38","","","19.17%","2.98%","0.20%","1/27/2026 8:30:00 AM"
"4","AAOI","Applied Optoelectronics Inc","Technology","Communication Equipment","USA","3035.72","","44.46","1.07%","2745300","50.40","","7.20","5.41","20.14","","58.81%","371.12%","-6.34%","","5.49%","68.06","64.54","5.48%","-1.99%","69.04%","8.74%","17.92%","2.23","5179.29","0.36%","28.98%","85.71%","111.61%","27.54%","64.42%","1584.09%","262.94%","190.59%","11.75%","12.60%","0.53","3.34","4.99","6.48%","20.49%","61.62%","-12.48%","357.83%","55.35","0.82%","0.25%","","-22.46%","-40.43%","-21.37%","2.31","1.63","0.30","0.42","29.19%","-11.76%","-36.97%","2/26/2026 4:30:00 PM"
"5","AAON","AAON Inc","Industrials","Building Products & Equipment","USA","8248.31","83.88","101.04","-0.56%","1115542","50.69","3.22","6.27","9.55","3633.62","","-30.28%","41.54%","24.26%","15.74%","20.67%","81.59","67.58","17.21%","-0.32%","94.99%","14.86%","12.15%","8.46","970.26","4.78%","15.03%","-0.98%","21.57%","32.51%","-10.47%","94.81%","91.34%","634.30%","4.42%","4.79%","1.15","1.08","4.52","6.10%","16.99%","14.20%","-12.93%","62.97%","65.20","-0.36%","-0.20%","0.40%","7.82%","12.08%","7.99%","3.04","2.03","0.45","0.46","24.77%","10.01%","7.62%","11/6/2025 8:30:00 AM"
"6","AAP","Advance Auto Parts Inc","Consumer Cyclical","Auto Parts","USA","3532.31","80.77","58.85","1.08%","5147015","14.66","0.51","0.41","1.61","1.13","","19.70%","48.39%","-36.70%","28.52%","-3.17%","60.00","58.95","1.78%","-0.71%","121.57%","-6.62%","19.59%","6.31","1830.54","6.42%","37.24%","15.35%","3.52%","49.75%","21.12%","-61.33%","-61.49%","-58.19%","7.62%","6.10%","2.81","1.11","3.21","15.85%","26.38%","14.93%","-15.93%","103.70%","73.13","-6.59%","8.21%","1.72%","0.56%","3.11%","0.59%","1.75","0.87","2.38","2.57","43.72%","1.87%","0.51%","2/13/2026 8:30:00 AM"
"7","AAPG","Ascentage Pharma Group International ADR","Healthcare","Biotechnology","China","2210.02","","23.82","2.67%","4888","","","40.87","22.22","9.53","","-37.62%","19.75%","36.70%","0.82%","130.37%","52.23","","","","0.06%","3.35%","","0.19","3.90","-2.85%","-15.89%","-27.71%","-43.89%","-9.22%","38.01%","","","","2.44%","2.40%","1.25","0.85","0.94","-4.35%","-12.47%","-28.35%","-50.84%","39.38%","40.74","-1.79%","4.55%","","-37.67%","-161.90%","-74.33%","1.54","1.53","1.32","2.58","70.27%","-287.25%","-297.05%","8/20/2025 4:30:00 PM"
"8","AAPL","Apple Inc","Technology","Consumer Electronics","USA","3755141.88","32.36","255.78","-2.27%","56290673","27.56","2.47","8.62","42.64","56.12","30.45","13.28%","9.83%","17.91%","11.17%","8.71%","14702.70","14665.90","0.10%","-2.12%","65.87%","0.71%","0.80%","2.41","48514.76","-8.03%","-1.61%","-6.47%","9.88%","-5.91%","5.90%","66.25%","88.95%","988.54%","2.80%","2.45%","1.16","1.10","6.54","-2.48%","-4.37%","6.55%","-11.38%","51.16%","39.44","-2.38%","0.11%","0.42%","32.56%","152.02%","71.43%","0.97","0.94","0.87","1.03","47.33%","32.38%","27.04%","1/29/2026 4:30:00 PM"
"9","AAUC","Allied Gold Corp","Basic Materials","Gold","Canada","3903.85","","31.47","0.58%","408361","","","3.63","11.10","14.89","","","","","","","116.90","97.23","21.62%","0.00%","56.42%","6.09%","3.19%","3.31","936.26","0.90%","15.44%","86.99%","162.47%","37.54%","207.62%","","","","1.02%","2.37%","0.44","-0.98","0.73","1.53%","18.01%","76.34%","-1.90%","262.98%","68.54","0.58%","0.00%","","-2.82%","-14.14%","-11.17%","0.70","0.53","0.04","0.42","30.37%","21.86%","-3.58%","11/5/2025 4:30:00 PM"
"10","AB","AllianceBernstein Holding Lp","Financial","Asset Management","USA","3772.98","13.60","40.84","0.79%","369672","10.13","1.04","","3.05","","10.71","8.86%","11.21%","0.57%","9.73%","","92.18","90.01","2.57%","-1.32%","15.14%","-17.91%","0.39%","1.03","341.53","3.58%","4.96%","2.79%","-0.92%","6.13%","13.60%","1.11%","8.44%","135.93%","2.65%","3.71%","1.08","0.86","1.37","-0.20%","1.78%","2.15%","-7.41%","26.52%","51.94","1.26%","-0.47%","8.98%","18.31%","18.35%","24.24%","","","0.00","0.00","","","","2/5/2026 8:30:00 AM"
